benchmark,backbone,backbone_short,seed,config,qz_sweep,qz_run_id,lr,init_lr,gamma,hidden_dim,batch_size,init_batch_size,buffer_batch,avg_acc,avg_inc_acc,bwt,task0_final,collapsed
imagenet_r,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,87a04be3a554,5e-05,0.001,75,192,128,128,500,91.24,94.15,-0.0272,96.18,False
imagenet_r,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,87a04be3a554,5e-05,0.001,75,192,128,128,500,90.54,93.83,-0.0298,96.99,False
imagenet_r,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,87a04be3a554,5e-05,0.001,75,192,128,128,500,92.46,95.22,-0.028,95.47,False
imagenet_r,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,87a04be3a554,5e-05,0.001,75,192,128,128,500,89.99,93.66,-0.0368,91.35,False
imagenet_r,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,87a04be3a554,5e-05,0.001,75,192,128,128,500,92.07,94.85,-0.0279,97.34,False
omnibenchmark,dinov3_vitb16,v3-B/16,7,paperhp,omni_min_sweep,3467206b03bf,5e-05,0.001,50,48,256,256,1000,81.19,89.13,-0.0949,89.8,False
omnibenchmark,dinov3_vitb16,v3-B/16,42,paperhp,omni_min_sweep,3467206b03bf,5e-05,0.001,50,48,256,256,1000,80.63,88.68,-0.0936,81.0,False
omnibenchmark,dinov3_vitb16,v3-B/16,1993,paperhp,omni_min_sweep,3467206b03bf,5e-05,0.001,50,48,256,256,1000,80.66,88.86,-0.1022,73.45,False
omnibenchmark,dinov3_vitb16,v3-B/16,2024,paperhp,omni_min_sweep,3467206b03bf,5e-05,0.001,50,48,256,256,1000,82.3,89.08,-0.0895,81.3,False
omnibenchmark,dinov3_vitb16,v3-B/16,31337,paperhp,omni_min_sweep,3467206b03bf,5e-05,0.001,50,48,256,256,1000,81.45,90.13,-0.0921,77.72,False
omnibenchmark,dinov3_vith16,v3-H/16,7,paperhp,all_classes_min_dinov3h_sweep,3677ab51f933,5e-05,0.001,50,192,64,64,256,18.36,37.9,-0.4634,8.19,True
omnibenchmark,dinov3_vith16,v3-H/16,42,paperhp,all_classes_min_dinov3h_sweep,3677ab51f933,5e-05,0.001,50,192,64,64,256,10.41,29.35,-0.9763,0.0,True
omnibenchmark,dinov3_vith16,v3-H/16,1993,paperhp,all_classes_min_dinov3h_sweep,3677ab51f933,5e-05,0.001,50,192,64,64,256,17.97,37.85,-0.4011,6.89,True
omnibenchmark,dinov3_vith16,v3-H/16,2024,paperhp,all_classes_min_dinov3h_sweep,3677ab51f933,5e-05,0.001,50,192,64,64,256,22.99,42.87,-0.284,22.7,True
omnibenchmark,dinov3_vith16,v3-H/16,31337,paperhp,all_classes_min_dinov3h_sweep,3677ab51f933,5e-05,0.001,50,192,64,64,256,16.75,36.74,-0.3543,17.25,True
omnibenchmark,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,5ba8ece594d7,5e-05,0.001,75,192,128,128,500,79.4,88.05,-0.1239,87.12,False
omnibenchmark,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,5ba8ece594d7,5e-05,0.001,75,192,128,128,500,77.93,86.14,-0.1101,78.17,False
omnibenchmark,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,5ba8ece594d7,5e-05,0.001,75,192,128,128,500,79.94,88.53,-0.1067,71.6,False
omnibenchmark,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,5ba8ece594d7,5e-05,0.001,75,192,128,128,500,80.98,87.66,-0.1143,75.63,False
omnibenchmark,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,5ba8ece594d7,5e-05,0.001,75,192,128,128,500,79.08,88.72,-0.1253,72.03,False
vtab,dinov3_vitb16,v3-B/16,7,paperhp,dinov3_min_remaining,f1befbc81767,0.0001,0.001,75,384,256,256,1000,95.2,97.16,-0.0385,91.14,False
vtab,dinov3_vitb16,v3-B/16,42,paperhp,dinov3_min_remaining,f1befbc81767,0.0001,0.001,75,384,256,256,1000,95.07,97.71,-0.0296,93.94,False
vtab,dinov3_vitb16,v3-B/16,1993,paperhp,dinov3_min_remaining,f1befbc81767,0.0001,0.001,75,384,256,256,1000,95.06,97.29,-0.0256,95.93,False
vtab,dinov3_vitb16,v3-B/16,2024,paperhp,dinov3_min_remaining,f1befbc81767,0.0001,0.001,75,384,256,256,1000,93.55,96.72,-0.0409,94.05,False
